PRODUCT_LINE,GENDER,AGE,MARITAL_STATUS,PROFESSION
Personal Loan,M,29,Single,Professional
Checking Account,M,29,Single,Professional
Money Market Account,F,33,Married,Executive
Personal Loan,F,20,Single,Professional
Personal Loan,M,31,Married,Other
Checking Account,F,31,Single,Other
Personal Loan,F,42,Married,Other
Money Market Account,F,42,Married,Other
Checking Account,F,42,Married,Other
Money Market Account,M,21,Single,Trades
Checking Account,F,65,Married,Other
Citigold,F,65,Married,Other
Money Market Account,F,41,Unspecified,Hospitality
Citigold,F,41,Unspecified,Hospitality
Checking Account,M,17,Single,Student
Credit Card,M,55,Married,Trades
Credit Card,M,55,Married,Trades
Credit Card,M,55,Married,Trades
Credit Card,M,55,Married,Trades
Checking Account,F,52,Married,Executive
Money Market Account,M,35,Married,Trades
Checking Account,F,34,Single,Retail
Money Market Account,M,25,Single,Other
Money Market Account,M,25,Single,Other
Money Market Account,M,25,Single,Other
Checking Account,F,18,Single,Retail
Checking Account,F,19,Single,Other
Personal Loan,M,36,Single,Professional
Checking Account,M,33,Married,Professional
Money Market Account,M,33,Married,Sales
Checking Account,F,30,Single,Professional
Money Market Account,F,29,Single,Other
Money Market Account,F,29,Single,Other
Personal Loan,M,21,Single,Sales
Citigold,M,21,Single,Sales
Money Market Account,F,44,Married,Other
Personal Loan,M,21,Single,Student
Personal Loan,M,21,Single,Student
Credit Card,M,46,Married,Trades
Checking Account,F,47,Married,Sales
Checking Account,F,34,Single,Professional
Checking Account,F,24,Single,Professional
Checking Account,F,27,Single,Retail
Checking Account,F,28,Single,Professional
Money Market Account,M,26,Married,Other
Checking Account,M,26,Married,Other
Personal Loan,M,29,Single,Professional
Personal Loan,M,29,Single,Professional
Checking Account,M,29,Single,Professional
Checking Account,F,23,Single,Professional
Checking Account,M,27,Single,Other
Citigold,F,26,Married,Executive
Checking Account,F,26,Married,Executive
Money Market Account,F,20,Single,Other
Money Market Account,M,26,Single,Other
Money Market Account,M,33,Married,Other
Money Market Account,M,33,Married,Other
Personal Loan,F,19,Single,Other
Personal Loan,F,19,Single,Other
Money Market Account,F,26,Married,Other
Money Market Account,F,26,Married,Other
Money Market Account,F,40,Married,Other
Money Market Account,F,40,Married,Other
Money Market Account,F,40,Married,Other
Personal Loan,M,40,Single,Other
Money Market Account,M,40,Single,Other
Money Market Account,M,40,Single,Other
Money Market Account,M,40,Single,Other
Money Market Account,M,40,Single,Other
Personal Loan,M,44,Single,Other
Personal Loan,M,44,Single,Other
Credit Card,M,43,Married,Trades
Credit Card,M,43,Married,Trades
Checking Account,F,24,Single,Retail
Credit Card,M,28,Unspecified,Sales
Personal Loan,F,22,Single,Professional
Citigold,F,20,Married,Retail
Checking Account,F,46,Married,Retail
Money Market Account,M,31,Unspecified,Sales
Personal Loan,M,31,Unspecified,Sales
Personal Loan,M,31,Unspecified,Sales
Personal Loan,M,31,Unspecified,Sales
Credit Card,M,31,Unspecified,Sales
Money Market Account,F,23,Single,Student
Money Market Account,F,23,Single,Student
Personal Loan,F,37,Married,Other
Personal Loan,F,37,Married,Other
Checking Account,F,50,Married,Other
Checking Account,F,18,Single,Student
Personal Loan,M,30,Single,Trades
Checking Account,F,67,Married,Other
Checking Account,M,30,Married,Other
Credit Card,M,24,Single,Professional
Money Market Account,F,31,Married,Other
Citigold,F,31,Married,Other
Money Market Account,M,35,Married,Other
Credit Card,M,41,Married,Trades
Credit Card,M,41,Married,Trades
Checking Account,F,25,Single,Other
Checking Account,F,23,Single,Other
Checking Account,F,25,Single,Other
Credit Card,F,30,Married,Hospitality
Money Market Account,M,49,Unspecified,Trades
Money Market Account,M,39,Married,Other
Money Market Account,F,34,Married,Other
Money Market Account,F,34,Married,Other
Money Market Account,M,28,Single,Student
Money Market Account,F,42,Married,Other
Checking Account,F,27,Single,Other
Money Market Account,M,25,Single,Professional
Credit Card,M,55,Married,Other
Money Market Account,M,27,Married,Other
Credit Card,M,27,Married,Other
Checking Account,F,19,Single,Professional
Credit Card,M,50,Married,Professional
Personal Loan,F,33,Married,Other
Personal Loan,F,33,Married,Other
Money Market Account,M,35,Married,Sales
Money Market Account,M,26,Married,Sales
Money Market Account,M,26,Married,Sales
Personal Loan,F,31,Married,Retail
Personal Loan,F,31,Married,Retail
Money Market Account,M,42,Married,Sales
Citigold,M,42,Married,Sales
Money Market Account,F,40,Married,Other
Citigold,F,40,Married,Other
Checking Account,F,21,Married,Other
Personal Loan,F,19,Single,Other
Money Market Account,F,43,Married,Other
Personal Loan,F,43,Married,Other
Money Market Account,F,31,Married,Other
Citigold,F,31,Married,Other
Money Market Account,F,49,Married,Executive
Citigold,F,49,Married,Executive
Credit Card,M,43,Married,Trades
Credit Card,M,43,Married,Trades
Money Market Account,F,29,Single,Hospitality
Money Market Account,F,29,Single,Hospitality
Money Market Account,F,24,Single,Retail
Personal Loan,M,20,Single,Other
Personal Loan,M,20,Single,Other
Money Market Account,M,33,Married,Executive
Personal Loan,M,19,Single,Other
Checking Account,M,27,Married,Other
Money Market Account,M,27,Married,Executive
Personal Loan,M,27,Married,Executive
Personal Loan,M,27,Married,Executive
Money Market Account,F,22,Single,Other
Money Market Account,F,22,Single,Other
Checking Account,F,25,Single,Retail
Money Market Account,F,39,Married,Other
Checking Account,F,28,Single,Other
Money Market Account,F,20,Single,Student
Money Market Account,F,46,Married,Other
Money Market Account,F,46,Married,Other
Personal Loan,M,22,Single,Other
Money Market Account,F,40,Married,Other
Money Market Account,F,27,Single,Other
Checking Account,F,57,Married,Retired
Credit Card,F,27,Single,Other
Personal Loan,F,27,Single,Other
Checking Account,F,21,Single,Other
Checking Account,F,25,Married,Executive
Money Market Account,M,35,Married,Other
Money Market Account,M,39,Married,Executive
Citigold,M,39,Married,Executive
Money Market Account,F,33,Married,Hospitality
Checking Account,F,23,Single,Retail
Money Market Account,F,44,Married,Other
Money Market Account,M,31,Married,Sales
Money Market Account,M,31,Married,Sales
Checking Account,F,23,Single,Retail
Citigold,M,24,Single,Student
Checking Account,M,24,Single,Student
Money Market Account,M,31,Single,Professional
Money Market Account,M,31,Single,Professional
Checking Account,F,19,Single,Retail
Money Market Account,M,33,Single,Other
Money Market Account,M,33,Single,Other
Checking Account,M,41,Married,Other
Money Market Account,F,25,Married,Other
Money Market Account,F,25,Married,Other
Credit Card,M,43,Single,Other
Checking Account,M,43,Single,Other
Money Market Account,M,43,Single,Other
Money Market Account,M,19,Single,Other
Money Market Account,M,19,Single,Other
Money Market Account,M,28,Single,Sales
Money Market Account,M,28,Single,Sales
Money Market Account,M,27,Single,Sales
Money Market Account,F,38,Married,Other
Money Market Account,F,38,Married,Other
Money Market Account,M,37,Married,Trades
Personal Loan,F,34,Married,Other
Checking Account,F,34,Married,Other
Money Market Account,F,46,Married,Executive
Citigold,F,46,Married,Executive
Money Market Account,M,41,Married,Other
Checking Account,M,41,Married,Other
Money Market Account,M,44,Single,Professional
Checking Account,F,38,Single,Retail
Money Market Account,F,31,Married,Hospitality
Money Market Account,F,31,Married,Hospitality
Money Market Account,F,27,Married,Retail
Checking Account,F,27,Married,Retail
Checking Account,F,45,Married,Other
Citigold,M,24,Single,Student
Checking Account,M,24,Single,Student
Personal Loan,M,39,Married,Other
Personal Loan,M,39,Married,Other
Checking Account,F,28,Single,Student
Checking Account,F,28,Single,Student
Credit Card,M,32,Single,Other
Credit Card,M,32,Single,Other
Credit Card,M,32,Single,Other
Checking Account,F,52,Unspecified,Hospitality
Money Market Account,M,37,Unspecified,Trades
Personal Loan,M,29,Single,Professional
Checking Account,M,41,Married,Professional
Checking Account,F,34,Single,Retail
Credit Card,F,50,Married,Other
Credit Card,F,50,Married,Other
Money Market Account,M,27,Single,Trades
Checking Account,F,27,Single,Other
Checking Account,M,19,Single,Professional
Money Market Account,F,23,Married,Other
Citigold,F,23,Married,Other
Money Market Account,M,36,Married,Sales
Checking Account,F,27,Single,Other
Money Market Account,F,23,Single,Hospitality
Checking Account,M,27,Married,Other
Money Market Account,M,41,Married,Executive
Citigold,F,28,Single,Other
Money Market Account,F,31,Married,Professional
Money Market Account,M,32,Married,Executive
Money Market Account,M,32,Married,Executive
Checking Account,F,64,Married,Other
Checking Account,F,27,Single,Student
Checking Account,F,29,Married,Other
Credit Card,M,36,Married,Executive
Money Market Account,M,35,Married,Executive
Personal Loan,M,35,Married,Executive
Personal Loan,M,35,Married,Executive
Personal Loan,M,35,Married,Executive
Personal Loan,M,35,Married,Executive
Personal Loan,M,35,Married,Executive
Money Market Account,F,48,Married,Retail
Checking Account,F,48,Married,Retail
Money Market Account,M,34,Married,Other
Money Market Account,M,34,Married,Other
Money Market Account,M,22,Single,Sales
Money Market Account,M,28,Single,Professional
Checking Account,F,35,Single,Professional
Checking Account,F,38,Married,Executive
Money Market Account,M,39,Single,Other
Checking Account,F,24,Single,Student
Checking Account,F,31,Single,Other
Money Market Account,M,42,Married,Other
Money Market Account,M,42,Married,Other
Money Market Account,F,23,Single,Hospitality
Checking Account,F,36,Married,Other
Citigold,F,36,Married,Other
Checking Account,F,22,Single,Student
Checking Account,F,26,Single,Sales
Personal Loan,M,31,Single,Trades
Personal Loan,M,31,Single,Trades
Personal Loan,F,31,Married,Other
Checking Account,F,49,Married,Professional
Checking Account,F,22,Single,Retail
Money Market Account,M,37,Married,Other
Checking Account,M,25,Single,Other
Money Market Account,M,37,Married,Trades
Money Market Account,M,37,Married,Trades
Money Market Account,M,43,Married,Sales
Money Market Account,M,43,Married,Sales
Money Market Account,M,43,Married,Sales
Personal Loan,M,43,Single,Other
Personal Loan,M,43,Single,Other
Personal Loan,M,43,Single,Other
Personal Loan,M,43,Single,Other
Personal Loan,F,35,Married,Professional
Checking Account,F,35,Married,Professional
Money Market Account,F,49,Married,Other
Money Market Account,F,49,Married,Other
Money Market Account,F,35,Unspecified,Hospitality
Personal Loan,F,35,Unspecified,Hospitality
Personal Loan,F,35,Unspecified,Hospitality
Personal Loan,F,35,Unspecified,Hospitality
Personal Loan,M,28,Single,Professional
Checking Account,M,35,Married,Other
Personal Loan,M,26,Married,Executive
Checking Account,M,44,Married,Other
Personal Loan,M,28,Married,Other
Personal Loan,M,28,Married,Other
Money Market Account,F,38,Married,Executive
Checking Account,M,22,Single,Professional
Personal Loan,M,22,Single,Professional
Personal Loan,M,24,Single,Retail
Personal Loan,M,24,Single,Retail
Money Market Account,M,24,Single,Retail
Money Market Account,F,41,Unspecified,Hospitality
Citigold,F,41,Unspecified,Hospitality
Checking Account,F,29,Single,Other
Checking Account,F,65,Unspecified,Hospitality
Money Market Account,M,42,Married,Sales
Checking Account,F,40,Married,Sales
Personal Loan,M,37,Unspecified,Trades
Personal Loan,M,37,Unspecified,Trades
Checking Account,M,37,Unspecified,Trades
Checking Account,F,32,Married,Executive
Money Market Account,F,21,Single,Hospitality
Money Market Account,F,21,Single,Hospitality
Money Market Account,M,43,Married,Sales
Checking Account,F,67,Married,Other
Money Market Account,M,40,Married,Other
Money Market Account,M,40,Married,Other
Personal Loan,M,19,Single,Student
Personal Loan,M,19,Single,Student
Money Market Account,M,19,Single,Student
Personal Loan,F,39,Married,Other
Credit Card,M,50,Unspecified,Other
Credit Card,M,50,Unspecified,Other
Money Market Account,M,29,Single,Trades
Money Market Account,M,29,Single,Trades
Checking Account,F,48,Unspecified,Hospitality
Checking Account,F,22,Single,Retail
Money Market Account,F,37,Married,Other
Money Market Account,M,23,Single,Executive
Money Market Account,M,23,Single,Executive
Checking Account,F,37,Married,Professional
Money Market Account,F,32,Married,Executive
Citigold,F,32,Married,Executive
Checking Account,F,19,Single,Other
Checking Account,F,26,Single,Other
Checking Account,M,39,Married,Other
Money Market Account,F,37,Married,Other
Citigold,F,37,Married,Other
Money Market Account,F,20,Married,Retail
Personal Loan,F,51,Married,Other
Checking Account,F,24,Single,Professional
Money Market Account,M,38,Single,Professional
Money Market Account,M,38,Single,Professional
Money Market Account,M,38,Single,Professional
Money Market Account,M,38,Married,Trades
Personal Loan,M,36,Married,Trades
Checking Account,M,36,Married,Trades
Money Market Account,F,44,Married,Executive
Checking Account,F,20,Single,Other
Personal Loan,M,31,Single,Professional
Personal Loan,M,31,Single,Professional
Money Market Account,F,46,Married,Hospitality
Citigold,F,46,Married,Hospitality
Personal Loan,M,32,Single,Other
Personal Loan,M,28,Single,Trades
Personal Loan,M,28,Single,Trades
Personal Loan,M,28,Single,Trades
Personal Loan,F,37,Married,Other
Checking Account,F,37,Married,Other
Citigold,F,37,Married,Other
Money Market Account,M,33,Single,Other
Checking Account,F,29,Single,Retail
Money Market Account,M,35,Married,Other
Money Market Account,M,35,Married,Other
Checking Account,F,28,Single,Professional
Checking Account,M,32,Married,Professional
Credit Card,M,31,Single,Other
Credit Card,M,31,Single,Other
Checking Account,F,22,Single,Professional
Money Market Account,M,26,Single,Sales
Money Market Account,M,44,Married,Trades
Personal Loan,M,30,Married,Professional
Checking Account,F,28,Single,Retail
Checking Account,F,28,Married,Executive
Money Market Account,M,29,Single,Other
Money Market Account,M,29,Single,Other
Money Market Account,M,35,Married,Sales
Money Market Account,M,40,Married,Other
Personal Loan,M,40,Married,Other
Citigold,M,21,Single,Student
Money Market Account,M,29,Single,Professional
Credit Card,M,40,Married,Other
Credit Card,M,46,Married,Professional
Credit Card,M,46,Married,Professional
Credit Card,M,46,Married,Professional
Checking Account,M,31,Unspecified,Professional
Money Market Account,M,22,Single,Sales
Money Market Account,M,22,Single,Sales
Checking Account,F,35,Married,Professional
Money Market Account,F,32,Married,Executive
Money Market Account,M,39,Married,Other
Money Market Account,M,39,Married,Other
Money Market Account,M,19,Single,Sales
Checking Account,F,26,Single,Other
Money Market Account,M,42,Married,Other
Money Market Account,M,42,Married,Other
Money Market Account,F,41,Married,Other
Citigold,F,41,Married,Other
Money Market Account,M,24,Single,Other
Money Market Account,F,48,Married,Other
Credit Card,M,41,Married,Professional
Credit Card,M,41,Married,Professional
Checking Account,F,46,Married,Other
Money Market Account,F,39,Married,Other
Checking Account,F,20,Single,Other
Money Market Account,F,19,Single,Other
Checking Account,F,42,Married,Sales
Checking Account,F,32,Married,Professional
Checking Account,F,21,Single,Other
Personal Loan,M,25,Single,Other
Personal Loan,M,25,Single,Other
Checking Account,F,48,Married,Professional
Money Market Account,M,30,Single,Other
Money Market Account,M,30,Single,Other
Personal Loan,M,27,Single,Professional
Checking Account,M,49,Married,Professional
Checking Account,M,49,Married,Professional
Money Market Account,M,49,Married,Professional
Money Market Account,M,40,Married,Other
Money Market Account,F,38,Unspecified,Hospitality
Citigold,F,38,Unspecified,Hospitality
Credit Card,M,55,Unspecified,Other
Credit Card,M,55,Unspecified,Other
Money Market Account,M,21,Single,Sales
Money Market Account,M,21,Single,Sales
Credit Card,F,57,Married,Other
Credit Card,F,57,Married,Other
Credit Card,F,57,Married,Other
Checking Account,F,24,Single,Sales
Money Market Account,F,34,Married,Executive
Money Market Account,F,34,Married,Executive
Personal Loan,F,34,Married,Executive
Money Market Account,M,34,Married,Executive
Money Market Account,M,34,Married,Executive
Checking Account,F,28,Single,Sales
Money Market Account,M,29,Single,Sales
Money Market Account,F,21,Married,Retail
Money Market Account,F,21,Married,Retail
Citigold,F,21,Married,Retail
Credit Card,F,39,Married,Other
Credit Card,F,39,Married,Other
Credit Card,F,39,Married,Other
Credit Card,F,39,Married,Other
Checking Account,M,34,Single,Trades
Citigold,M,34,Single,Trades
Money Market Account,M,34,Married,Other
Money Market Account,F,34,Married,Executive
Money Market Account,F,26,Married,Other
Credit Card,F,26,Married,Other
Checking Account,F,37,Single,Other
Checking Account,F,29,Single,Other
Personal Loan,M,19,Single,Professional
Credit Card,M,41,Married,Other
Credit Card,M,41,Married,Other
Credit Card,M,41,Married,Other
Checking Account,F,27,Single,Professional
Money Market Account,M,33,Single,Trades
Checking Account,F,38,Single,Other
Checking Account,F,44,Married,Other
Money Market Account,F,40,Married,Other
Money Market Account,F,40,Married,Other
Money Market Account,F,40,Married,Other
Citigold,F,40,Married,Other
Money Market Account,M,31,Married,Trades
Money Market Account,M,32,Married,Executive
Money Market Account,M,35,Married,Other
Money Market Account,M,35,Married,Other
Checking Account,F,18,Single,Professional
Credit Card,M,40,Married,Other
Credit Card,M,40,Married,Other
Credit Card,M,40,Married,Other
Credit Card,M,57,Married,Trades
Credit Card,M,57,Married,Trades
Money Market Account,M,20,Single,Other
Checking Account,F,27,Single,Other
Credit Card,F,51,Married,Other
Checking Account,F,33,Single,Professional
Checking Account,F,21,Single,Professional
Checking Account,M,25,Single,Other
Money Market Account,F,32,Married,Other
Money Market Account,F,32,Married,Other
Money Market Account,F,32,Married,Other
Checking Account,F,22,Married,Other
Checking Account,F,26,Single,Other
Personal Loan,M,22,Single,Sales
Money Market Account,M,22,Single,Sales
Money Market Account,M,25,Single,Student
Personal Loan,M,25,Single,Student
Personal Loan,M,25,Single,Student
Personal Loan,F,26,Married,Other
Personal Loan,F,26,Married,Other
Checking Account,F,62,Married,Other
Money Market Account,M,21,Single,Trades
Money Market Account,M,21,Single,Trades
Money Market Account,F,31,Married,Hospitality
Money Market Account,F,31,Married,Hospitality
Money Market Account,M,19,Single,Professional
Checking Account,M,19,Single,Professional
Personal Loan,F,25,Single,Other
Credit Card,F,25,Single,Other
Checking Account,F,35,Single,Professional
Money Market Account,M,28,Single,Sales
Money Market Account,M,28,Single,Sales
Money Market Account,M,24,Single,Other
Money Market Account,F,37,Married,Other
Money Market Account,M,36,Married,Professional
Credit Card,M,36,Married,Professional
Credit Card,M,36,Married,Professional
Money Market Account,M,40,Married,Other
Money Market Account,M,40,Married,Other
Checking Account,M,37,Married,Other
Checking Account,F,67,Married,Other
Money Market Account,M,24,Single,Other
Personal Loan,M,24,Single,Other
Money Market Account,F,23,Single,Other
Money Market Account,M,34,Married,Sales
Personal Loan,M,19,Single,Other
Checking Account,F,37,Single,Retail
Checking Account,F,20,Single,Other
Checking Account,F,38,Married,Professional
Checking Account,F,25,Single,Other
Checking Account,F,27,Single,Professional
Money Market Account,M,33,Married,Other
Money Market Account,M,33,Married,Other
Personal Loan,M,33,Married,Other
Checking Account,F,20,Single,Other
Personal Loan,M,31,Single,Other
Money Market Account,M,42,Married,Other
Checking Account,M,21,Single,Student
Credit Card,M,48,Unspecified,Other
Credit Card,M,48,Unspecified,Other
Credit Card,M,48,Unspecified,Other
Checking Account,F,49,Married,Other
Money Market Account,F,49,Married,Hospitality
Money Market Account,F,38,Married,Executive
Citigold,F,38,Married,Executive
Money Market Account,M,31,Single,Professional
Money Market Account,F,24,Single,Other
Money Market Account,F,24,Single,Other
Money Market Account,F,24,Single,Other
Money Market Account,F,24,Single,Other
Money Market Account,M,25,Single,Other
Money Market Account,M,25,Single,Other
Personal Loan,M,19,Single,Student
Money Market Account,M,30,Married,Other
Money Market Account,M,30,Married,Other
Personal Loan,M,44,Single,Other
Money Market Account,F,26,Single,Other
Personal Loan,F,36,Married,Other
Personal Loan,M,42,Single,Other
Personal Loan,M,42,Single,Other
Checking Account,F,38,Married,Executive
Money Market Account,M,39,Married,Sales
Money Market Account,F,45,Married,Hospitality
Money Market Account,F,20,Single,Other
Money Market Account,F,33,Married,Other
Checking Account,F,47,Married,Retired
Money Market Account,F,34,Married,Retail
Money Market Account,M,40,Married,Trades
Checking Account,F,25,Married,Professional
Checking Account,F,25,Single,Professional
Money Market Account,M,19,Single,Professional
Money Market Account,M,19,Single,Professional
Money Market Account,M,27,Married,Professional
Money Market Account,F,47,Unspecified,Hospitality
Money Market Account,M,40,Married,Trades
Money Market Account,M,40,Married,Trades
Money Market Account,M,40,Married,Trades
Money Market Account,M,29,Married,Professional
Checking Account,F,19,Single,Student
Personal Loan,M,34,Single,Professional
Personal Loan,M,34,Single,Professional
Money Market Account,F,46,Married,Executive
Money Market Account,F,46,Married,Executive
Credit Card,F,52,Married,Other
Money Market Account,M,38,Married,Executive
Money Market Account,M,38,Married,Executive
Money Market Account,M,43,Single,Sales
Money Market Account,F,30,Married,Hospitality
Credit Card,F,31,Married,Other
Credit Card,F,31,Married,Other
Credit Card,F,31,Married,Other
Checking Account,M,24,Single,Professional
Money Market Account,F,29,Single,Hospitality
Personal Loan,F,39,Unspecified,Other
Personal Loan,F,39,Unspecified,Other
Checking Account,F,39,Unspecified,Other
Checking Account,F,62,Married,Other
Checking Account,F,29,Single,Professional
Checking Account,F,51,Married,Other
Credit Card,F,52,Married,Other
Credit Card,F,52,Married,Other
Checking Account,F,46,Married,Other
Personal Loan,F,46,Married,Other
Money Market Account,M,22,Single,Professional
Checking Account,F,52,Married,Other
Money Market Account,M,23,Single,Professional
Personal Loan,M,29,Single,Trades
Money Market Account,M,40,Married,Sales
Money Market Account,M,37,Married,Sales
Money Market Account,M,37,Married,Sales
Money Market Account,M,40,Married,Sales
Credit Card,M,56,Married,Other
Checking Account,M,27,Single,Professional
Citigold,M,27,Single,Professional
Checking Account,F,52,Married,Other
Checking Account,F,27,Single,Professional
Personal Loan,M,20,Single,Trades
Money Market Account,M,44,Married,Trades
Money Market Account,M,44,Married,Trades
Money Market Account,M,40,Married,Trades
Money Market Account,M,38,Married,Sales
Personal Loan,M,19,Single,Sales
Checking Account,M,19,Single,Sales
Checking Account,M,24,Single,Student
Checking Account,F,48,Married,Other
Personal Loan,F,27,Single,Student
Personal Loan,F,27,Single,Student
Personal Loan,F,27,Single,Student
Citigold,F,27,Single,Student
Checking Account,F,39,Single,Other
Money Market Account,M,33,Married,Professional
Credit Card,M,33,Married,Professional
Checking Account,F,27,Married,Sales
Money Market Account,M,26,Married,Other
Money Market Account,M,33,Married,Other
Money Market Account,M,34,Married,Sales
Money Market Account,M,39,Married,Sales
Checking Account,F,42,Married,Other
Personal Loan,M,28,Single,Professional
Checking Account,M,23,Single,Student
Money Market Account,F,41,Married,Executive
Money Market Account,F,41,Married,Executive
Checking Account,F,46,Married,Other
Money Market Account,F,66,Unspecified,Hospitality
Checking Account,F,66,Unspecified,Hospitality
Credit Card,M,43,Married,Other
Checking Account,M,43,Married,Other
Checking Account,F,37,Married,Executive
Checking Account,M,43,Married,Other
Checking Account,M,21,Single,Student
Money Market Account,M,42,Married,Other
Money Market Account,M,27,Single,Trades
Money Market Account,M,20,Single,Other
Money Market Account,M,20,Single,Other
Money Market Account,M,28,Single,Professional
Money Market Account,M,31,Married,Trades
Personal Loan,M,26,Single,Other
Personal Loan,M,23,Single,Sales
Money Market Account,F,35,Married,Other
Citigold,F,35,Married,Other
Credit Card,M,58,Married,Other
Checking Account,F,49,Married,Other
Checking Account,F,41,Married,Retired
Checking Account,F,63,Married,Retired
Money Market Account,F,38,Married,Other
Money Market Account,F,30,Married,Hospitality
Money Market Account,F,27,Single,Other
Money Market Account,F,27,Single,Other
Checking Account,M,33,Married,Sales
Checking Account,M,33,Married,Sales
Money Market Account,M,44,Married,Other
Money Market Account,M,24,Single,Other
Money Market Account,M,24,Single,Other
Money Market Account,F,44,Married,Other
Citigold,F,44,Married,Other
Checking Account,F,35,Married,Executive
Money Market Account,M,24,Single,Other
Money Market Account,M,24,Single,Other
Money Market Account,M,44,Married,Trades
Money Market Account,M,44,Married,Trades
Money Market Account,M,44,Married,Trades
Money Market Account,F,25,Single,Other
Money Market Account,F,25,Single,Other
Money Market Account,F,25,Single,Other
Money Market Account,F,25,Single,Other
Personal Loan,M,41,Single,Sales
Money Market Account,M,41,Single,Sales
Money Market Account,M,41,Single,Sales
Personal Loan,M,41,Single,Sales
Personal Loan,M,41,Single,Sales
Money Market Account,M,41,Single,Sales
Credit Card,M,40,Married,Professional
Money Market Account,F,39,Married,Executive
Money Market Account,M,40,Married,Executive
Money Market Account,M,40,Married,Executive
Money Market Account,F,43,Married,Other
Money Market Account,F,43,Married,Other
Checking Account,M,40,Married,Professional
Money Market Account,M,24,Single,Student
Personal Loan,M,39,Single,Executive
Checking Account,F,29,Single,Professional
Checking Account,F,29,Single,Professional
Checking Account,F,26,Single,Student
Personal Loan,M,27,Single,Trades
Money Market Account,M,27,Single,Trades
Money Market Account,M,27,Single,Trades
Money Market Account,M,22,Single,Trades
Checking Account,F,37,Married,Executive
Money Market Account,M,33,Married,Executive
Checking Account,F,25,Single,Retail
Money Market Account,M,33,Married,Executive
Money Market Account,M,43,Married,Executive
Money Market Account,M,42,Married,Executive
Personal Loan,M,25,Married,Other
Checking Account,M,25,Married,Other
Money Market Account,M,24,Single,Trades
Money Market Account,M,24,Single,Trades
Money Market Account,F,38,Married,Executive
Checking Account,F,28,Single,Professional
Checking Account,F,37,Single,Other
Money Market Account,M,36,Single,Executive
Checking Account,M,36,Single,Executive
Money Market Account,F,29,Single,Retail
Personal Loan,F,29,Single,Retail
Checking Account,F,38,Married,Sales
Checking Account,M,31,Married,Other
Money Market Account,M,34,Married,Other
Money Market Account,F,47,Married,Other
Citigold,F,47,Married,Other
Checking Account,F,26,Married,Retail
Checking Account,F,47,Married,Professional
Personal Loan,M,41,Married,Professional
Money Market Account,F,44,Married,Other
Credit Card,F,31,Married,Other
Credit Card,F,31,Married,Other
Checking Account,F,23,Single,Student
Money Market Account,F,42,Unspecified,Hospitality
Money Market Account,F,44,Unspecified,Hospitality
Citigold,F,44,Unspecified,Hospitality
Credit Card,M,46,Married,Professional
Credit Card,M,46,Married,Professional
Credit Card,M,58,Married,Professional
Credit Card,M,58,Married,Professional
Money Market Account,M,28,Single,Other
Money Market Account,F,42,Married,Other
