ID,Comments
1309,Wants to get an additional loan working by the end of the week for his goat.
1323,I needed a handset which also functioned as a PDA. You did not offer such a model.
1329,Wants to change address.
1330,I expected significantly better service.
1336,I needed a handset which also functioned as a PDA. You did not offer such a model.
1357,Wanted to know the nearest branch location. Wants to buy aditional features.
1364,Wants to add another bank account. Contacting provisioning.
1366,"He says that we keep sending him the bill to the wrong address. We have his correct billing address. I don’t know why he is not getting it. He was very angry that we shut his service off for not paying. I offered to take a CC, but he was unwilling to do s"
1368,Is it possible that the handset is causing brain cancer. I heard about this from the news.
1369,Wants to get an additional loan working by the end of the week. Forwarded him on to cstmr care.
1380,Wants to add another bank account. Contacting provisioning.
1385,He does not know if the problems are related to the bank account or if it is just the debit card.
1388,Lost his savings account and wants to know where he can another ASAP. I suggested local branch.
1391,Really is unhappy with the website. Claims the self service stuff does not work.
1392,Wants to get an additional loan working by the end of the week. Forwarded him on to customer care.
1398,Wanted to know the nearest branch location. Wants to buy aditional features.
1406,"He found a bank account and wanted to know what to do with it. He said it was one of ours, but that the debit card was dead. Asked who he should send it too."
1422,"He says that his bank account works fine when using it in the car with the adapter, but the debit card performance sucks."
1426,He found a better rate and no contract. He said he cold not wait until his contract expired.
1433,Wants a new faceplate.
1436,Wants to add additional loans for family. Needs more info on rates.
1437,"Wants to add additional loans and bank accounts for his kids. I created the ticket, but dont kno when someone will get back to him. He asked if I could get back to him."
1442,Wanted to know his usage and whether he was roaming. Also want to know the rates when he is roaming. Thinking about changing rate accounts as well.
1451,Wanted to know the nearest branch location. Wants to buy aditional features.
1455,I expected significantly better Technical Support.
1469,Wants to know how to do credit card. Referred him to website.
1479,Is it possible that the handset is causing brain cancer. I heard about this from the news.
1485,Called about new account. Might switch soon. Wants more perks.
1491,Wanted to know his usage and whether he was roaming. Also want to know the rates when he is roaming. Thinking about changing rate accounts as well.
1507,Called to change his address and see if he could get a new number since he is moving to a different city.
1525,I had a terrible time with the handset. It really did not work well.
1529,Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he bank account does not work well.
1537,Does not understand why he gets charged for roaming. I referred him to the web site.
1538,He expected significantly better Technical Support.
1546,Cant wait for us to open the new digitial service. He wants to try the new GSM. He says that if it is much later than June he will probably switch to another carrier.
1552,He asked us to please take him off the outbound call list. In addition wants to change rate account at the end of the year.
1554,"Wants to kno when we will improve our coverage area. He said that when he signed up last year we told him that there would more coverage within the year. He says that he continues to roam, and is rater tired of paying these charges. I told him that I did"
1557,cant figure out how to check his vm when out of area. I referred him to our web site.
1574,"The customer wold like to change his address, and complained this should be significantly easier. I am not sure what he means by self service. He also thought the bank account sucked."
1577,The clearity of the calls was bad. Way too much static on the handset.
1579,"He found a bank account and wanted to know what to do with it. He said it was one of ours, but that the debit card was dead. Asked who he should send it too."
1590,Does not like the way the bank account works. It is to difficult compared to his last bank account.
1595,Cant get his check card to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
1598,The customer was very unhappy with the wait time for support. Then he said that his recption was just too unreliable to be of any value.
1600,Said his debit card never has worked well. Wants a new bank account ASAP.
1615,Wants to change address.
1620,Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he bank account does not work well.
1625,He lost his bank account and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
1626,Wanted to know the nearest branch location. Wants to buy additional features.
1632,He asked us to please take him off the outbound call list. In addition wants to change rate account at the end of the year.
1638,Wants to add additional loans for family. Needs more info on rates.
1650,Very unhappy with new bank account because it does not use a simm chip. He says he wll have to reenter all his information in his bank account book and he finds that a waste of time. Claims other companies use simm to make this easier with their bank accounts.
1653,The debit card on the bank account just does not last long enough. He charges it and after a couple of calls it simply dies on him. He replaced the debit card per our suggestion and he still has the same problem. He says that we should replace the whole bank account.
1656,Really is unhappy with the website. Claims the self service stuff does not work.
1660,Needs help with basic bank account usage. I suggested he go back to the branch and ask for some help.
1671,He claims his bill always seemed to have calls he did not make.
1678,Wanted to know the nearest branch locatn. Wants to buy additional features.
1682,"The customer wold like to change his address, and complained this should be significantly easier. I am not sure what he means by self service. He also thought the bank account sucked."
1684,"This customer was very unhappy. He said he will not pay until we get him a new bank account. Furthermore, he sees no reason why he should pay for a service that did not work."
1697,Wants to change rate accounts to get family all on same bill. I transferred him to cstmer care.
1712,I needed a handset which also functioned as a PDA. You did not offer such a model.
1726,Does not like the way the bank account works. It is to difficult compared to his last bank account.
1750,"He called and said someone stole his bank account last week, but he did not notice until today. He does not want to pay for any calls made during the last week. I switched him to the supervisor after telling him our policy."
1752,I wished the handset was bigger. It is uncomfortable using the handset for a long time.
1754,cant figure out how to check his vm when out of area. I referred him to our web site.
1758,"He says that his bank account works fine when using it in the car with the adapter, but the debit card performance sucks. He can not wait to change bank accounts. He wanted to know if we would send him a new bank account."
1759,Asked about coverage in Los Angeles and New York. Is afraid that he will be out of network when traveling.
1764,He hated the bank account. Claims that the reception is horrible in many parts of the metropolitian area.
1767,Said his debit card never has worked well. Wants a new bank account ASAP.
1768,He is really upset with out false advertising. He thinks that we do not test any of the equipment.
1777,"This customer was very unhappy. He said he will not pay until we get him a new bank account. Furthermore, he sees no reason why he should pay for a service that did not work."
1784,He really thinks the reception is inadequate everywhere but on the highway. Wants to know when this will be fixed?
1787,Asked how to disable call waiting. referred him to web site.
1795,He wanted credit for all these dropped calls. I told him I would pass him onto a supervisor. He was really rude and very upset. Said he could not use us for business purposes because of our useless service.
1798,Wants to get an additional loan working by the end of the week for his goat.
1799,Wanted to know the nearest branch location. Wants to buy additional access-ories.
1803,Wants to get an additional loan working by the end of the week. Forwarded him on to customer care.
1805,"The customer wold like to change his address, and complained this should be significantly easier. I am not sure what he means by self service. He also thought the bank account sucked."
1809,Handset sucked
1820,The handset really sucked. I could not hear anything near my house.
1829,Wants to get an additional loan working by the end of the week. Forwarded him on to cstmr care.
1830,Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.
1837,Said his batery never has worked well. Wants a new bank account ASAP.
1839,"He is really unhappy with his bill. He says that there are numerous calls he has never made, but that show up on his bank account. He says that he simply does not trust our system."
1863,He claims his bill always seemed to have calls he did not make.
1881,I needed a handset which also functioned as a PDA. You did not offer such a model.
1920,The handset reception was worse than abysmal.
1925,Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.
1956,The customer has a number of complaints. His major issue was that the handset buttons were hard to use. He was not happy with the bank account at all.
1961,I needed a handset which also functioned as a PDA. You did not offer such a model.
1967,Wants information on our Internet service. Referred him to web site.
1972,He asked us to please take him off the outbound call list. In addition wants to change rate account at the end of the year.
1983,He asked us to please take him off the outbound call list. In addition wants to change rate account at the end of the year.
1985,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.
1987,Wanted more information on the family account. Also asked about how he could use money market.
1992,Called about new account. Might switch soon. Wants more perks.
1997,Wanted to know his usage and whether he was roaming. Also want to know the rates when he is roaming. Thinking about changing rate accounts as well.
2003,He did not realize that changing his rate account effected the date on his contract. When he found that out he could not wait till his contract ends.
2004,Wants to know why the rate account is so hard to figure out. He does not believe his anytime perks are being subtracted properly. He wanted to speak to the manager ASAP.
2010,"Cant believe he was stupid enough to sign a year contract. He thinks that we provide the worst service he has ever encountered. Furthermore, the bank account is so shitty that he would not give it to an enemy. He now realizes you get what you pay for. I transfe"
2013,He asked us to please take him off the outbound call list. In addition wants to change rate account at the end of the year.
2021,Asked about how to change his ring tones. Referred him to web site.
2033,Asked about how to change his ring tones. Referred him to web site.
2039,Wants to know how to do credit card. Referred him to website.
2043,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.
2044,Getting really bad reception with his handset. Hopes this will improve in the near future. Wants to know if this would improve if he switched to 3g.
2049,Lost his savings account and wants to know where he can another ASAP. I suggested local branch.
2078,Says that his Web reception really is just to slow. Wants to know when he can expect this to work at a decent rate of speed? He also wants to know why it worked so much better at the branch?
2084,The debit card has never worked right. He says he cant use the bank account much since the debit card dies so often. Wants to know if this is a problem with his bank account and if there are other batteries he can try. I referred him to web site.
2086,Lost the directions to bank account and wants another manual. I referred him to web site.
2087,Wanted to know the nearest branch location. Wants to buy additional features.
2098,Wants to change rate accounts to get family all on same bill. I transferred him to cust-omer care.
2121,Claims the bank account does not work well. If the bank account does not work consistently why should he pay consisitently. Good point.
2124,Handset sucked
2141,"He loves the bank account when it works. The problem is that the bank account hardly ever works. He thinks the debit card is lame. He was replaced it, but still has the same problem."
2148,"He hates his bank account. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new bank account. He does not want to waste any more time with the 3399. I asked customer car"
2169,"He says that his bank account works fine when using it in the car with the adapter, but the debit card performance sucks. He can not wait to change bank accounts. He wanted to know if we would send him a new bank account."
2175,"He found a bank account and wanted to know what to do with it. He said it was one of ours, but that the debit card was dead. Asked who he should send it too."
2178,Does not understand why his bank account dies everytime he gets to a certain intersection. I explained the concept of towers and wholes in coverage. He said that the sales person never told him about this. He wanted to know when we would fix such holes.
2185,Claims he never received his bill. Was really unhappy that I asked him for his cc. Wanted me to turn on his bank account. I switched him ot the manager.
2191,Asking for a change of address and wants to switch accounts. Transeffered him to customer care.
2201,He expected more from Technical Support.
2207,Called about new account. Might switch soon. Wants more perks.
2214,Called to change his address and see if he could get a new number since he is moving to a different city.
2218,The clearity of the calls was bad. Way too much static on the handset.
2222,"He hates his bank account. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new bank account. He does not want to waste any more time with the 3399. I asked customer car"
2224,He claimed that the savings account never really worked very well. As a result the bank account was always dying on him. He could not wait to get out of his current contract.
2228,He wanted credit for all these dropped calls. I told him I would pass him onto a supervisor. He was really rude and very upset. Said he could not use us for business purposes because of our useless service.
2239,I had a terrible time with the handset. It really did not work well.
2253,He loves the bank account when it works. The problem is that the bank account hardly ever works. He thinks the debit card is lame.
2262,Wants to change rate accounts to get family all on same bill. I transferred him to cust-omer care.
2265,The handset reception was worse than abysmal.
2267,Wants a new faceplate.
2276,Wants to get an additional loan working by the end of the week. Forwarded him on to customer care.
2303,The handset really sucked. I could not hear anything near my house.
2312,Needed help figuring out his bill. I explained our minute charges.
2323,Lost the directions to bank account and wants another manual. I referred him to web site.
2328,He found a better rate and no contract. He said he cold not wait until his contract expired.
2342,Asked about how to change his ring tones. Referred him to web site.
2354,The handset really sucked. I could not hear anything near my house.
2355,The handset reception was worse than abysmal.
2356,Lost his savings account and wants to know where he can another ASAP. I suggested local branch.
2361,He is really upset with out false advertising. He thinks that we do not test any of the equipment.
2367,"Cant believe he was stupid enough to sign a year contract. He thinks that we provide the worst service he has ever encountered. Furthermore, the bank account is so shitty that he would not give it to an enemy. He now realizes you get what you pay for. I transfe"
2372,Hopes to get an additonal loan working by the end of the week for his wife.
2384,Wants information on our Internet service. Referred him to web site.
2394,The reception near his home is really horrible. He knows exactly when his calls will drop. He wants to know what we are going to do to fix this? He says that if we do not fix it he will go to a different cell company and since we can not keep our end of t
2395,"He says that his bank account works fine when using it in the car with the adapter, but the debit card performance sucks."
2413,Wanted to know the nearest branch lctn. Wants to buy additional features.
2423,"He hates his bank account. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new bank account. He does not want to waste any more time with the 3399. I asked customer car"
2434,"Wants to add additional loans and bank accounts for his kids. I created the ticket, but dont kno when someone will get back to him. He asked if I could get back to him."
2445,Wanted to know the nearest branch lctn. Wants to buy additional features.
2448,Wanted to know the nearest branch location. Wants to buy additional features.
2449,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.
2453,cant figure out how to check his vm when out of area. I referred him to our web site.
2455,transferred to manager ASAP
2458,bank account sucked
2467,Really wants the new bank account from XVYX which has the PDA built in.
2471,Asked about how to change his ring tones. Referred him to web site.
2480,The customer has a number of complaints. His major issue was that the handset buttons were hard to use. He was not happy with the bank account at all.
2486,"He called and said someone stole his bank account last week, but he did not notice until today. He does not want to pay for any calls made during the last week. I switched him to the supervisor after telling him our policy."
2489,He really thinks the reception is inadequate everywhere but on the highway. Wants to know when this will be fixed?
2492,"The customer wold like to change his address, and complained this should be significantly easier. I am not sure what he means by self service. He also thought the bank account sucked."
2495,He asked for a new bank account number. I referred him to customer care.
2500,Needs help with basic bank account usage. I suggested he go back to the branch and ask for some help.
2502,Wants to know how to do credit card. Referred him to website.
2508,I had a terrible time with the handset. It really did not work well.
2514,"He says that his bank account works fine when using it in the car with the adapter, but the debit card performance sucks."
2529,The customer was very unhappy with the wait time for support. Then he said that his recption was just too unreliable to be of any value.
2536,Wanted a different rate account which included roll over perks. He claims that we are not as competitive as other companies.
2541,He found a better rate and no contract. He said he cold not wait until his contract expired.
2546,He does not know if the problems are related to the bank account or if it is just the debit card. He was willing to test a new debit card. I asked him to try that first. If he is still having problems he will call us back.
2550,Claimed his bill had numerous calls that he never made. He started asking me if our billing system ever made mistakes. He said that sometimes he could over hear other bank account calls. He thinks he is being charged for those calls.
2558,Wants to know how to do credit card. Referred him to website.
2569,cant figure out how to check his vm when out of area. I referred him to our web site.
2577,Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.
2585,Does not like the way the bank account works. It is to difficult compared to his last bank account.
2590,He expected more from Technical Support.
2600,"He called and said someone stole his bank account last week, but he did not notice until today. He does not want to pay for any calls made during the last week. I switched him to the supervisor after telling him our policy."
2606,Wanted to know the nearest branch location. Wants to buy additional access-ories.
2613,He did not realize that changing his rate account effected the date on his contract. When he found that out he could not wait till his contract ends.
2614,Wanted to know the nearest branch locatn. Wants to buy additional features.
2617,He asked us to please take him off the outbound call list. In addition wants to change rate account at the end of the year.
2626,Wants to get an additional loan working by the end of the week for his goat.
