ID,TRANS_TYPE,GENDER,AGE,MARITAL_STATUS,PROFESSION
303,Not Fraud,F,64,Married,Other
304,Not Fraud,F,27,Single,Student
305,Not Fraud,F,29,Married,Other
306,Refer to Agent,M,36,Married,Executive
307,Not Fraud,M,35,Married,Executive
308,Not Fraud,M,35,Married,Executive
309,Not Fraud,M,35,Married,Executive
310,Not Fraud,M,35,Married,Executive
311,Not Fraud,M,35,Married,Executive
312,Not Fraud,M,35,Married,Executive
313,Not Fraud,F,48,Married,Retail
314,Not Fraud,F,48,Married,Retail
315,Not Fraud,M,34,Married,Other
316,Not Fraud,M,34,Married,Other
317,Not Fraud,M,22,Single,Sales
318,Not Fraud,M,28,Single,Professional
319,Not Fraud,F,35,Single,Professional
320,Not Fraud,F,38,Married,Executive
321,Not Fraud,M,39,Single,Other
322,Not Fraud,F,24,Single,Student
323,Not Fraud,F,31,Single,Other
324,Not Fraud,M,42,Married,Other
325,Not Fraud,M,42,Married,Other
326,Not Fraud,F,23,Single,Hospitality
327,Not Fraud,F,36,Married,Other
328,Fraud,F,36,Married,Other
329,Not Fraud,F,22,Single,Student
330,Not Fraud,F,26,Single,Sales
331,Not Fraud,M,31,Single,Trades
332,Not Fraud,M,31,Single,Trades
333,Not Fraud,F,31,Married,Other
334,Not Fraud,F,49,Married,Professional
335,Not Fraud,F,22,Single,Retail
336,Not Fraud,M,37,Married,Other
337,Not Fraud,M,25,Single,Other
338,Not Fraud,M,37,Married,Trades
339,Not Fraud,M,37,Married,Trades
340,Not Fraud,M,43,Married,Sales
341,Not Fraud,M,43,Married,Sales
342,Not Fraud,M,43,Married,Sales
343,Not Fraud,M,43,Single,Other
344,Not Fraud,M,43,Single,Other
345,Not Fraud,M,43,Single,Other
346,Not Fraud,M,43,Single,Other
347,Not Fraud,F,35,Married,Professional
348,Not Fraud,F,35,Married,Professional
349,Not Fraud,F,49,Married,Other
350,Not Fraud,F,49,Married,Other
351,Not Fraud,F,35,Unspecified,Hospitality
352,Not Fraud,F,35,Unspecified,Hospitality
353,Not Fraud,F,35,Unspecified,Hospitality
354,Not Fraud,F,35,Unspecified,Hospitality
355,Not Fraud,M,28,Single,Professional
356,Not Fraud,M,35,Married,Other
357,Not Fraud,M,26,Married,Executive
358,Not Fraud,M,44,Married,Other
359,Not Fraud,M,28,Married,Other
360,Not Fraud,M,28,Married,Other
361,Not Fraud,F,38,Married,Executive
362,Not Fraud,M,22,Single,Professional
363,Not Fraud,M,22,Single,Professional
364,Not Fraud,M,24,Single,Retail
365,Not Fraud,M,24,Single,Retail
366,Not Fraud,M,24,Single,Retail
367,Not Fraud,F,41,Unspecified,Hospitality
368,Fraud,F,41,Unspecified,Hospitality
369,Not Fraud,F,29,Single,Other
370,Not Fraud,F,65,Unspecified,Hospitality
371,Not Fraud,M,42,Married,Sales
372,Not Fraud,F,40,Married,Sales
373,Not Fraud,M,37,Unspecified,Trades
374,Not Fraud,M,37,Unspecified,Trades
375,Not Fraud,M,37,Unspecified,Trades
376,Not Fraud,F,32,Married,Executive
377,Not Fraud,F,21,Single,Hospitality
378,Not Fraud,F,21,Single,Hospitality
379,Not Fraud,M,43,Married,Sales
380,Not Fraud,F,67,Married,Other
381,Not Fraud,M,40,Married,Other
382,Not Fraud,M,40,Married,Other
383,Not Fraud,M,19,Single,Student
384,Not Fraud,M,19,Single,Student
385,Not Fraud,M,19,Single,Student
386,Not Fraud,F,39,Married,Other
387,Refer to Agent,M,50,Unspecified,Other
388,Refer to Agent,M,50,Unspecified,Other
389,Not Fraud,M,29,Single,Trades
390,Not Fraud,M,29,Single,Trades
391,Not Fraud,F,48,Unspecified,Hospitality
392,Not Fraud,F,22,Single,Retail
393,Not Fraud,F,37,Married,Other
394,Not Fraud,M,23,Single,Executive
395,Not Fraud,M,23,Single,Executive
396,Not Fraud,F,37,Married,Professional
397,Not Fraud,F,32,Married,Executive
398,Fraud,F,32,Married,Executive
399,Not Fraud,F,19,Single,Other
400,Not Fraud,F,26,Single,Other
401,Not Fraud,M,39,Married,Other
402,Not Fraud,F,37,Married,Other
403,Fraud,F,37,Married,Other
404,Not Fraud,F,20,Married,Retail
405,Not Fraud,F,51,Married,Other
406,Not Fraud,F,24,Single,Professional
407,Not Fraud,M,38,Single,Professional
408,Not Fraud,M,38,Single,Professional
409,Not Fraud,M,38,Single,Professional
410,Not Fraud,M,38,Married,Trades
411,Not Fraud,M,36,Married,Trades
412,Not Fraud,M,36,Married,Trades
413,Not Fraud,F,44,Married,Executive
414,Not Fraud,F,20,Single,Other
415,Not Fraud,M,31,Single,Professional
416,Not Fraud,M,31,Single,Professional
417,Not Fraud,F,46,Married,Hospitality
418,Fraud,F,46,Married,Hospitality
419,Not Fraud,M,32,Single,Other
420,Not Fraud,M,28,Single,Trades
421,Not Fraud,M,28,Single,Trades
422,Not Fraud,M,28,Single,Trades
423,Not Fraud,F,37,Married,Other
424,Not Fraud,F,37,Married,Other
425,Fraud,F,37,Married,Other
426,Not Fraud,M,33,Single,Other
427,Not Fraud,F,29,Single,Retail
428,Not Fraud,M,35,Married,Other
429,Not Fraud,M,35,Married,Other
430,Not Fraud,F,28,Single,Professional
431,Not Fraud,M,32,Married,Professional
432,Refer to Agent,M,31,Single,Other
433,Refer to Agent,M,31,Single,Other
434,Not Fraud,F,22,Single,Professional
435,Not Fraud,M,26,Single,Sales
436,Not Fraud,M,44,Married,Trades
437,Not Fraud,M,30,Married,Professional
438,Not Fraud,F,28,Single,Retail
439,Not Fraud,F,28,Married,Executive
440,Not Fraud,M,29,Single,Other
441,Not Fraud,M,29,Single,Other
442,Not Fraud,M,35,Married,Sales
443,Not Fraud,M,40,Married,Other
444,Not Fraud,M,40,Married,Other
445,Fraud,M,21,Single,Student
446,Not Fraud,M,29,Single,Professional
447,Refer to Agent,M,40,Married,Other
448,Refer to Agent,M,46,Married,Professional
449,Refer to Agent,M,46,Married,Professional
450,Refer to Agent,M,46,Married,Professional
451,Not Fraud,M,31,Unspecified,Professional
452,Not Fraud,M,22,Single,Sales
453,Not Fraud,M,22,Single,Sales
454,Not Fraud,F,35,Married,Professional
455,Not Fraud,F,32,Married,Executive
456,Not Fraud,M,39,Married,Other
457,Not Fraud,M,39,Married,Other
458,Not Fraud,M,19,Single,Sales
459,Not Fraud,F,26,Single,Other
460,Not Fraud,M,42,Married,Other
461,Not Fraud,M,42,Married,Other
462,Not Fraud,F,41,Married,Other
463,Fraud,F,41,Married,Other
464,Not Fraud,M,24,Single,Other
465,Not Fraud,F,48,Married,Other
466,Refer to Agent,M,41,Married,Professional
467,Refer to Agent,M,41,Married,Professional
468,Not Fraud,F,46,Married,Other
469,Not Fraud,F,39,Married,Other
470,Not Fraud,F,20,Single,Other
471,Not Fraud,F,19,Single,Other
472,Not Fraud,F,42,Married,Sales
473,Not Fraud,F,32,Married,Professional
474,Not Fraud,F,21,Single,Other
475,Not Fraud,M,25,Single,Other
476,Not Fraud,M,25,Single,Other
477,Not Fraud,F,48,Married,Professional
478,Not Fraud,M,30,Single,Other
479,Not Fraud,M,30,Single,Other
480,Not Fraud,M,27,Single,Professional
481,Not Fraud,M,49,Married,Professional
482,Not Fraud,M,49,Married,Professional
483,Not Fraud,M,49,Married,Professional
484,Not Fraud,M,40,Married,Other
485,Not Fraud,F,38,Unspecified,Hospitality
486,Fraud,F,38,Unspecified,Hospitality
487,Refer to Agent,M,55,Unspecified,Other
488,Refer to Agent,M,55,Unspecified,Other
489,Not Fraud,M,21,Single,Sales
490,Not Fraud,M,21,Single,Sales
491,Refer to Agent,F,57,Married,Other
492,Refer to Agent,F,57,Married,Other
493,Refer to Agent,F,57,Married,Other
494,Not Fraud,F,24,Single,Sales
495,Not Fraud,F,34,Married,Executive
496,Not Fraud,F,34,Married,Executive
497,Not Fraud,F,34,Married,Executive
498,Not Fraud,M,34,Married,Executive
499,Not Fraud,M,34,Married,Executive
500,Not Fraud,F,28,Single,Sales
501,Not Fraud,M,29,Single,Sales
502,Not Fraud,F,21,Married,Retail
503,Not Fraud,F,21,Married,Retail
504,Fraud,F,21,Married,Retail
505,Refer to Agent,F,39,Married,Other
506,Refer to Agent,F,39,Married,Other
507,Refer to Agent,F,39,Married,Other
508,Refer to Agent,F,39,Married,Other
509,Not Fraud,M,34,Single,Trades
510,Fraud,M,34,Single,Trades
511,Not Fraud,M,34,Married,Other
512,Not Fraud,F,34,Married,Executive
513,Not Fraud,F,26,Married,Other
514,Refer to Agent,F,26,Married,Other
515,Not Fraud,F,37,Single,Other
516,Not Fraud,F,29,Single,Other
517,Not Fraud,M,19,Single,Professional
518,Refer to Agent,M,41,Married,Other
519,Refer to Agent,M,41,Married,Other
520,Refer to Agent,M,41,Married,Other
521,Not Fraud,F,27,Single,Professional
522,Not Fraud,M,33,Single,Trades
523,Not Fraud,F,38,Single,Other
524,Not Fraud,F,44,Married,Other
525,Not Fraud,F,40,Married,Other
526,Not Fraud,F,40,Married,Other
527,Not Fraud,F,40,Married,Other
528,Fraud,F,40,Married,Other
529,Not Fraud,M,31,Married,Trades
530,Not Fraud,M,32,Married,Executive
531,Not Fraud,M,35,Married,Other
532,Not Fraud,M,35,Married,Other
533,Not Fraud,F,18,Single,Professional
534,Refer to Agent,M,40,Married,Other
535,Refer to Agent,M,40,Married,Other
536,Refer to Agent,M,40,Married,Other
537,Refer to Agent,M,57,Married,Trades
538,Refer to Agent,M,57,Married,Trades
539,Not Fraud,M,20,Single,Other
540,Not Fraud,F,27,Single,Other
541,Refer to Agent,F,51,Married,Other
542,Not Fraud,F,33,Single,Professional
543,Not Fraud,F,21,Single,Professional
544,Not Fraud,M,25,Single,Other
545,Not Fraud,F,32,Married,Other
546,Not Fraud,F,32,Married,Other
547,Not Fraud,F,32,Married,Other
548,Not Fraud,F,22,Married,Other
549,Not Fraud,F,26,Single,Other
550,Not Fraud,M,22,Single,Sales
551,Not Fraud,M,22,Single,Sales
552,Not Fraud,M,25,Single,Student
553,Not Fraud,M,25,Single,Student
554,Not Fraud,M,25,Single,Student
555,Not Fraud,F,26,Married,Other
556,Not Fraud,F,26,Married,Other
557,Not Fraud,F,62,Married,Other
558,Not Fraud,M,21,Single,Trades
559,Not Fraud,M,21,Single,Trades
560,Not Fraud,F,31,Married,Hospitality
561,Not Fraud,F,31,Married,Hospitality
562,Not Fraud,M,19,Single,Professional
563,Not Fraud,M,19,Single,Professional
564,Not Fraud,F,25,Single,Other
565,Refer to Agent,F,25,Single,Other
566,Not Fraud,F,35,Single,Professional
567,Not Fraud,M,28,Single,Sales
568,Not Fraud,M,28,Single,Sales
569,Not Fraud,M,24,Single,Other
570,Not Fraud,F,37,Married,Other
571,Not Fraud,M,36,Married,Professional
572,Refer to Agent,M,36,Married,Professional
573,Refer to Agent,M,36,Married,Professional
574,Not Fraud,M,40,Married,Other
575,Not Fraud,M,40,Married,Other
576,Not Fraud,M,37,Married,Other
577,Not Fraud,F,67,Married,Other
578,Not Fraud,M,24,Single,Other
579,Not Fraud,M,24,Single,Other
580,Not Fraud,F,23,Single,Other
581,Not Fraud,M,34,Married,Sales
582,Not Fraud,M,19,Single,Other
583,Not Fraud,F,37,Single,Retail
584,Not Fraud,F,20,Single,Other
585,Not Fraud,F,38,Married,Professional
586,Not Fraud,F,25,Single,Other
587,Not Fraud,F,27,Single,Professional
588,Not Fraud,M,33,Married,Other
589,Not Fraud,M,33,Married,Other
590,Not Fraud,M,33,Married,Other
591,Not Fraud,F,20,Single,Other
592,Not Fraud,M,31,Single,Other
593,Not Fraud,M,42,Married,Other
594,Not Fraud,M,21,Single,Student
595,Refer to Agent,M,48,Unspecified,Other
596,Refer to Agent,M,48,Unspecified,Other
597,Refer to Agent,M,48,Unspecified,Other
598,Not Fraud,F,49,Married,Other
599,Not Fraud,F,49,Married,Hospitality
600,Not Fraud,F,38,Married,Executive
601,Fraud,F,38,Married,Executive
602,Not Fraud,M,31,Single,Professional
603,Not Fraud,F,24,Single,Other
604,Not Fraud,F,24,Single,Other
605,Not Fraud,F,24,Single,Other
606,Not Fraud,F,24,Single,Other
607,Not Fraud,M,25,Single,Other
608,Not Fraud,M,25,Single,Other
609,Not Fraud,M,19,Single,Student
610,Not Fraud,M,30,Married,Other
611,Not Fraud,M,30,Married,Other
612,Not Fraud,M,44,Single,Other
613,Not Fraud,F,26,Single,Other
614,Not Fraud,F,36,Married,Other
615,Not Fraud,M,42,Single,Other
616,Not Fraud,M,42,Single,Other
617,Not Fraud,F,38,Married,Executive
618,Not Fraud,M,39,Married,Sales
619,Not Fraud,F,45,Married,Hospitality
620,Not Fraud,F,20,Single,Other
621,Not Fraud,F,33,Married,Other
622,Not Fraud,F,47,Married,Retired
623,Not Fraud,F,34,Married,Retail
624,Not Fraud,M,40,Married,Trades
625,Not Fraud,F,25,Married,Professional
626,Not Fraud,F,25,Single,Professional
627,Not Fraud,M,19,Single,Professional
628,Not Fraud,M,19,Single,Professional
629,Not Fraud,M,27,Married,Professional
630,Not Fraud,F,47,Unspecified,Hospitality
631,Not Fraud,M,40,Married,Trades
632,Not Fraud,M,40,Married,Trades
633,Not Fraud,M,40,Married,Trades
634,Not Fraud,M,29,Married,Professional
635,Not Fraud,F,19,Single,Student
636,Not Fraud,M,34,Single,Professional
637,Not Fraud,M,34,Single,Professional
638,Not Fraud,F,46,Married,Executive
639,Not Fraud,F,46,Married,Executive
640,Refer to Agent,F,52,Married,Other
641,Not Fraud,M,38,Married,Executive
642,Not Fraud,M,38,Married,Executive
643,Not Fraud,M,43,Single,Sales
644,Not Fraud,F,30,Married,Hospitality
645,Refer to Agent,F,31,Married,Other
646,Refer to Agent,F,31,Married,Other
647,Refer to Agent,F,31,Married,Other
648,Not Fraud,M,24,Single,Professional
649,Not Fraud,F,29,Single,Hospitality
650,Not Fraud,F,39,Unspecified,Other
651,Not Fraud,F,39,Unspecified,Other
652,Not Fraud,F,39,Unspecified,Other
653,Not Fraud,F,62,Married,Other
654,Not Fraud,F,29,Single,Professional
655,Not Fraud,F,51,Married,Other
656,Refer to Agent,F,52,Married,Other
657,Refer to Agent,F,52,Married,Other
658,Not Fraud,F,46,Married,Other
659,Not Fraud,F,46,Married,Other
660,Not Fraud,M,22,Single,Professional
661,Not Fraud,F,52,Married,Other
662,Not Fraud,M,23,Single,Professional
663,Not Fraud,M,29,Single,Trades
664,Not Fraud,M,40,Married,Sales
665,Not Fraud,M,37,Married,Sales
666,Not Fraud,M,37,Married,Sales
667,Not Fraud,M,40,Married,Sales
668,Refer to Agent,M,56,Married,Other
669,Not Fraud,M,27,Single,Professional
670,Fraud,M,27,Single,Professional
671,Not Fraud,F,52,Married,Other
672,Not Fraud,F,27,Single,Professional
673,Not Fraud,M,20,Single,Trades
674,Not Fraud,M,44,Married,Trades
675,Not Fraud,M,44,Married,Trades
676,Not Fraud,M,40,Married,Trades
677,Not Fraud,M,38,Married,Sales
678,Not Fraud,M,19,Single,Sales
679,Not Fraud,M,19,Single,Sales
680,Not Fraud,M,24,Single,Student
681,Not Fraud,F,48,Married,Other
682,Not Fraud,F,27,Single,Student
683,Not Fraud,F,27,Single,Student
684,Not Fraud,F,27,Single,Student
685,Fraud,F,27,Single,Student
686,Not Fraud,F,39,Single,Other
687,Not Fraud,M,33,Married,Professional
688,Refer to Agent,M,33,Married,Professional
689,Not Fraud,F,27,Married,Sales
690,Not Fraud,M,26,Married,Other
691,Not Fraud,M,33,Married,Other
692,Not Fraud,M,34,Married,Sales
693,Not Fraud,M,39,Married,Sales
694,Not Fraud,F,42,Married,Other
695,Not Fraud,M,28,Single,Professional
696,Not Fraud,M,23,Single,Student
697,Not Fraud,F,41,Married,Executive
698,Not Fraud,F,41,Married,Executive
699,Not Fraud,F,46,Married,Other
700,Not Fraud,F,66,Unspecified,Hospitality
